,Date  ,Open,High ,Low ,Close
206,03-Apr-23,"6,070.00","6,097.00","5,975.25","6,011.30"
207,05-Apr-23,"6,027.00","6,162.00","6,020.00","6,099.20"
208,06-Apr-23,"6,096.00","6,114.90","6,035.05","6,068.15"
209,10-Apr-23,"6,097.00","6,247.00","6,043.95","6,201.10"
210,11-Apr-23,"6,205.50","6,415.00","6,205.50","6,381.30"
211,12-Apr-23,"6,404.00","6,448.00","6,350.00","6,376.95"
212,13-Apr-23,"6,374.00","6,374.90","6,260.50","6,283.50"
213,17-Apr-23,"6,237.95","6,300.00","6,180.00","6,289.75"
214,18-Apr-23,"6,298.75","6,396.00","6,295.00","6,367.30"
215,19-Apr-23,"6,368.00","6,375.00","6,290.05","6,307.20"
216,20-Apr-23,"6,316.00","6,364.50","6,235.35","6,251.65"
217,21-Apr-23,"6,269.00","6,300.00","6,205.55","6,281.00"
218,24-Apr-23,"6,280.85","6,330.00","6,220.05","6,252.95"
219,25-Apr-23,"6,253.00","6,307.00","6,235.30","6,271.20"
220,26-Apr-23,"6,269.00","6,300.00","6,240.00","6,290.85"
221,27-Apr-23,"6,284.00","6,635.00","6,265.15","6,578.20"
222,28-Apr-23,"6,629.00","6,687.00","6,565.65","6,643.60"
223,02-May-23,"6,650.00","6,719.95","6,600.00","6,643.25"
224,03-May-23,"6,639.00","6,719.90","6,555.70","6,678.45"
225,04-May-23,"6,688.00","6,758.90","6,610.00","6,721.30"
226,05-May-23,"6,715.00","6,720.00","6,645.00","6,660.25"
227,08-May-23,"6,714.00","6,798.45","6,671.75","6,779.30"
228,09-May-23,"6,779.35","7,080.00","6,779.35","6,991.95"
229,10-May-23,"7,022.00","7,165.00","6,996.60","7,121.85"
230,11-May-23,"7,140.00","7,225.00","7,130.05","7,198.35"
231,12-May-23,"7,198.35","7,200.00","7,057.00","7,078.60"
232,15-May-23,"7,102.00","7,209.00","6,974.00","7,031.60"
233,16-May-23,"7,068.00","7,175.00","7,050.00","7,115.70"
234,17-May-23,"7,135.00","7,153.20","7,060.05","7,099.15"
235,18-May-23,"7,156.95","7,175.00","6,941.00","6,995.60"
236,19-May-23,"6,870.00","7,075.00","6,715.00","7,027.35"
237,22-May-23,"7,030.00","7,032.70","6,910.00","6,931.00"
238,23-May-23,"6,955.35","7,040.00","6,902.20","7,023.05"
239,24-May-23,"7,000.00","7,053.00","6,944.00","7,032.45"
240,25-May-23,"7,032.45","7,289.60","7,000.05","7,261.00"
241,26-May-23,"7,300.00","7,549.00","7,288.05","7,467.10"
242,29-May-23,"7,560.00","7,619.95","7,451.00","7,494.95"
243,30-May-23,"7,485.00","7,498.00","7,400.00","7,422.00"
244,31-May-23,"7,414.00","7,590.00","7,360.65","7,421.55"
245,01-Jun-23,"7,478.80","7,650.00","7,456.20","7,634.50"
246,02-Jun-23,"7,675.00","7,748.80","7,660.00","7,695.95"
