,Date  ,Open,High,Low,Close,Total Traded Quantity  
167,03-Jan-23,944.75,965.6,942.6,962.3,"69,27,819"
168,04-Jan-23,963.5,970.0,955.0,957.45,"90,59,392"
169,05-Jan-23,960.0,961.9,938.25,949.55,"69,98,980"
170,06-Jan-23,946.55,950.95,934.3,939.9,"57,87,783"
171,09-Jan-23,946.8,960.0,941.35,958.75,"70,25,747"
172,10-Jan-23,964.0,964.0,942.75,952.15,"71,40,150"
173,11-Jan-23,953.0,955.75,942.8,949.75,"71,00,355"
174,12-Jan-23,949.35,949.7,924.0,935.55,"86,61,375"
175,13-Jan-23,935.5,937.45,923.0,934.15,"90,83,608"
176,16-Jan-23,940.45,941.75,911.7,913.15,"1,00,08,273"
177,17-Jan-23,914.95,919.7,906.7,917.7,"69,04,960"
178,18-Jan-23,921.9,925.6,913.25,924.0,"57,30,939"
179,19-Jan-23,923.6,938.0,920.75,928.7,"77,21,730"
180,20-Jan-23,931.25,934.85,924.65,930.55,"45,11,360"
181,23-Jan-23,936.0,939.7,924.45,932.7,"52,36,124"
182,24-Jan-23,935.0,935.0,903.75,910.2,"1,85,27,897"
183,25-Jan-23,905.0,907.45,884.2,892.35,"1,19,21,748"
184,27-Jan-23,892.35,892.5,851.0,873.75,"1,73,00,736"
185,30-Jan-23,851.9,885.5,846.15,871.85,"2,12,33,998"
186,31-Jan-23,873.0,879.3,861.1,871.6,"1,68,56,151"
187,01-Feb-23,876.3,895.2,833.3,857.25,"1,24,09,819"
188,02-Feb-23,850.95,872.0,837.05,868.45,"95,67,053"
189,03-Feb-23,873.0,885.0,859.25,882.6,"73,65,732"
190,06-Feb-23,871.85,899.15,870.6,882.65,"1,01,29,098"
191,07-Feb-23,886.85,888.4,871.5,879.1,"50,55,187"
192,08-Feb-23,882.1,886.45,868.25,871.75,"65,72,818"
193,09-Feb-23,876.15,876.15,862.55,867.7,"59,93,312"
194,10-Feb-23,872.05,872.7,865.15,867.25,"46,03,464"
195,13-Feb-23,867.25,870.45,856.5,859.1,"57,07,194"
196,14-Feb-23,862.55,871.9,854.25,870.75,"75,27,755"
197,15-Feb-23,872.0,872.2,861.6,868.3,"73,22,266"
198,16-Feb-23,872.8,874.3,862.25,864.75,"58,43,235"
199,17-Feb-23,861.0,868.25,850.0,854.9,"84,20,479"
200,20-Feb-23,859.7,861.2,842.5,846.75,"59,92,322"
201,21-Feb-23,849.0,849.0,837.4,844.05,"96,77,064"
202,22-Feb-23,840.0,843.0,829.55,833.35,"69,84,037"
203,23-Feb-23,833.05,848.25,830.2,844.35,"84,37,003"
204,24-Feb-23,850.1,854.6,844.45,851.4,"77,63,814"
205,27-Feb-23,851.85,858.45,845.95,854.35,"80,64,267"
206,28-Feb-23,855.95,857.6,840.0,844.1,"1,30,12,372"
207,01-Mar-23,846.05,868.75,845.05,865.15,"1,23,45,125"
208,02-Mar-23,866.0,866.8,843.5,845.45,"1,39,00,508"
209,03-Mar-23,849.75,858.6,845.6,852.65,"79,77,804"
210,06-Mar-23,856.95,863.75,855.6,859.5,"1,07,81,567"
211,08-Mar-23,858.5,862.5,853.05,860.95,"87,85,735"
212,09-Mar-23,862.5,874.25,862.0,867.8,"1,47,46,065"
213,10-Mar-23,859.6,861.6,845.5,851.9,"1,11,98,583"
214,13-Mar-23,845.6,857.0,828.45,832.35,"83,15,798"
215,14-Mar-23,828.0,835.7,817.4,832.85,"1,25,73,734"
216,15-Mar-23,838.05,843.5,819.35,824.05,"66,52,641"
217,16-Mar-23,821.5,837.9,814.3,830.55,"87,91,383"
218,17-Mar-23,835.0,841.5,823.0,837.4,"77,62,461"
219,20-Mar-23,836.0,841.0,825.55,837.55,"1,07,44,023"
220,21-Mar-23,840.1,857.35,838.75,855.6,"1,14,89,951"
221,22-Mar-23,855.6,859.8,847.05,849.65,"80,18,924"
222,23-Mar-23,847.0,861.15,845.1,848.8,"98,57,892"
223,24-Mar-23,846.25,852.5,837.25,839.9,"80,78,718"
224,27-Mar-23,841.05,842.2,829.2,833.35,"1,06,02,508"
225,28-Mar-23,837.4,837.4,826.05,832.45,"1,10,02,402"
226,29-Mar-23,832.5,848.45,830.0,842.6,"1,71,21,194"
227,31-Mar-23,854.9,860.9,847.5,858.5,"1,29,46,752"
228,03-Apr-23,864.0,866.8,856.45,864.6,"1,32,66,882"
229,05-Apr-23,871.0,871.0,857.0,860.5,"1,18,90,015"
230,06-Apr-23,861.8,863.25,849.0,851.95,"1,96,77,316"
231,10-Apr-23,854.8,854.95,843.95,847.35,"1,56,56,078"
232,11-Apr-23,848.25,855.7,844.05,853.3,"2,39,30,907"
233,12-Apr-23,854.9,856.65,846.65,851.05,"1,34,80,335"
234,13-Apr-23,853.65,867.7,845.0,864.35,"2,39,34,570"
235,17-Apr-23,882.0,882.0,861.0,864.55,"2,25,77,380"
236,18-Apr-23,865.35,872.0,857.1,863.35,"1,72,38,709"
237,19-Apr-23,865.0,874.5,862.55,873.4,"2,34,94,247"
238,20-Apr-23,874.8,875.6,864.15,868.75,"1,94,44,753"
239,21-Apr-23,870.8,873.85,857.5,864.2,"1,55,20,786"
240,24-Apr-23,868.0,884.4,860.5,882.3,"1,82,01,632"
241,25-Apr-23,885.0,895.8,874.4,878.35,"3,63,94,389"
